run_at,text_variant,dataset_size,batch_size,change_ratio,run_index,full_reload_time_sec,incremental_time_sec,incremental_hashing_sec,incremental_load_sec,peak_memory_mb,incremental_to_full_ratio,speedup_vs_full,recommended_strategy,break_even_change_ratio
2026-06-10T14:10:11.123351+00:00,medium,50000,5000,0.8,0,6.548468000000867,7.3767337999997835,0.24220019999847864,1.262773799993738,44.069095611572266,1.126482377252024,0.8877191691532991,full_reload,0.3
2026-06-10T14:10:25.696233+00:00,medium,50000,5000,0.9,0,6.548468000000867,7.5099152000002505,0.2334378000086872,1.4376388000018778,43.712220191955566,1.1468201722905658,0.8719762907576704,full_reload,0.3
2026-06-10T14:10:40.265267+00:00,medium,50000,5000,1.0,0,6.548468000000867,7.650412200000574,0.24444689999654656,1.5192567999947642,43.86433982849121,1.1682751141182275,0.8559627676009895,full_reload,0.3
2026-06-10T14:10:59.976640+00:00,medium,50000,5000,0.0,1,6.860232099999848,5.981365100000403,0.22597389999282314,0.0003400000096007716,37.819637298583984,0.8718896114317379,1.1469341839707103,incremental_load,
2026-06-10T14:11:13.018247+00:00,medium,50000,5000,0.01,1,6.860232099999848,6.0705083000029845,0.24103309999918565,0.010838700000022072,37.964460372924805,0.8848838073573515,1.1300918738545298,incremental_load,
2026-06-10T14:11:26.146599+00:00,medium,50000,5000,0.05,1,6.860232099999848,6.142601599996851,0.2415426000043226,0.08924109999861685,38.46964454650879,0.8953926792064348,1.1168284298306705,incremental_load,
2026-06-10T14:11:39.377005+00:00,medium,50000,5000,0.1,1,6.860232099999848,6.164660400001594,0.24025479999909294,0.18587850000039907,39.09432601928711,0.8986081389289629,1.1128321196733033,incremental_load,
2026-06-10T14:11:53.053023+00:00,medium,50000,5000,0.2,1,6.860232099999848,6.4560768000010285,0.24720629999865196,0.38327160000335425,39.30422592163086,0.9410872264804526,1.0626007577850927,incremental_load,
2026-06-10T14:12:06.799826+00:00,medium,50000,5000,0.3,1,6.860232099999848,6.6074713000016345,0.23648229999525938,0.6242385000041395,40.08544731140137,0.9631556489177356,1.038253787042276,incremental_load,
2026-06-10T14:12:20.267914+00:00,medium,50000,5000,0.4,1,6.860232099999848,6.604047200002242,0.23654600000372739,0.6098638999937975,42.08430290222168,0.9626565258633725,1.03879210614932,incremental_load,
2026-06-10T14:12:33.845839+00:00,medium,50000,5000,0.45,1,6.860232099999848,6.747495100000378,0.24236340000425116,0.7109285999904387,42.334537506103516,0.9835665909904896,1.0167079780464698,incremental_load,
2026-06-10T14:12:47.552915+00:00,medium,50000,5000,0.5,1,6.860232099999848,6.7592078000016045,0.22753330000705319,0.7651190999931714,42.29293441772461,0.9852739238956294,1.014946174609134,incremental_load,
2026-06-10T14:13:01.234733+00:00,medium,50000,5000,0.55,1,6.860232099999848,6.855590000002849,0.24111249999623396,0.8516417000028014,42.825260162353516,0.9993233319326034,1.0006771262571124,incremental_load,
2026-06-10T14:13:14.891330+00:00,medium,50000,5000,0.6,1,6.860232099999848,6.929082200000266,0.23698580000564107,0.904187300006015,43.07748794555664,1.0100361181658009,0.9900636046718546,full_reload,0.6
2026-06-10T14:13:28.875523+00:00,medium,50000,5000,0.7,1,6.860232099999848,7.152534799999557,0.23587389999738662,1.062676100002136,43.57370376586914,1.0426082814311364,0.9591329915654899,full_reload,0.6
2026-06-10T14:13:42.999738+00:00,medium,50000,5000,0.75,1,6.860232099999848,7.23462870000003,0.23881710000205203,1.1752982000070915,43.82193374633789,1.0545749173705348,0.9482493690380848,full_reload,0.6
2026-06-10T14:13:57.150461+00:00,medium,50000,5000,0.8,1,6.860232099999848,7.394504100000631,0.26718120001169154,1.258494099998643,43.780330657958984,1.0778795807798973,0.9277474198708284,full_reload,0.6
2026-06-10T14:14:11.542679+00:00,medium,50000,5000,0.9,1,6.860232099999848,7.4764347999989695,0.2410429999945336,1.397241099999519,43.713257789611816,1.0898224274364032,0.9175806762871515,full_reload,0.6
2026-06-10T14:14:26.213492+00:00,medium,50000,5000,1.0,1,6.860232099999848,7.721820300001127,0.24845619999541668,1.5512926999945194,43.86263084411621,1.1255916982752374,0.8884216199642521,full_reload,0.6
2026-06-10T14:14:46.405456+00:00,medium,50000,5000,0.0,2,7.1610035999983666,6.031287300000258,0.23652970000330242,0.0003276999959780369,37.82003402709961,0.842240506624188,1.1873093162048607,incremental_load,
2026-06-10T14:14:59.167853+00:00,medium,50000,5000,0.01,2,7.1610035999983666,5.886579800000618,0.22033440000086557,0.01068430000304943,37.96100425720215,0.8220327943979753,1.216496478990672,incremental_load,
2026-06-10T14:15:12.210987+00:00,medium,50000,5000,0.05,2,7.1610035999983666,6.117538700000296,0.2399450999982946,0.0913193000087631,38.185787200927734,0.854285103278218,1.1705693990947732,incremental_load,
2026-06-10T14:15:25.301944+00:00,medium,50000,5000,0.1,2,7.1610035999983666,6.172069799999008,0.23965019999741344,0.1828064000037557,39.09372901916504,0.8619001113196502,1.1602272547208583,incremental_load,
2026-06-10T14:15:38.678806+00:00,medium,50000,5000,0.2,2,7.1610035999983666,6.394178899998224,0.24660309999308083,0.3385775000024296,39.59303092956543,0.8929165878368895,1.1199254371816771,incremental_load,
2026-06-10T14:15:52.199088+00:00,medium,50000,5000,0.3,2,7.1610035999983666,6.541567799999029,0.244178799996007,0.4635136000033526,39.79879379272461,0.9134987447849519,1.0946922540494695,incremental_load,
2026-06-10T14:16:06.008430+00:00,medium,50000,5000,0.4,2,7.1610035999983666,6.780109300001641,0.23110170000654762,0.6578885000017181,42.08084678649902,0.9468099275921587,1.0561781946489615,incremental_load,
2026-06-10T14:16:19.741038+00:00,medium,50000,5000,0.45,2,7.1610035999983666,6.814003600000433,0.24435280001125648,0.7535938999972132,42.33186149597168,0.9515431049360158,1.0509245401628364,incremental_load,
2026-06-10T14:16:33.316246+00:00,medium,50000,5000,0.5,2,7.1610035999983666,6.784682800000155,0.24015930000678054,0.7485348000082013,42.58200454711914,0.9474485950547075,1.0554662334395652,incremental_load,
2026-06-10T14:16:47.147039+00:00,medium,50000,5000,0.55,2,7.1610035999983666,6.911835700000665,0.23756520000097225,0.8956412000079581,42.830265045166016,0.9652048911136202,1.0360494535478726,incremental_load,
2026-06-10T14:17:01.019869+00:00,medium,50000,5000,0.6,2,7.1610035999983666,6.991090200001054,0.24103760000434704,0.9375163000113389,43.07478713989258,0.976272404052785,1.0243042780362477,incremental_load,
2026-06-10T14:17:15.507643+00:00,medium,50000,5000,0.7,2,7.1610035999983666,7.4059548000004725,0.2539967000047909,1.35008949999974,43.573001861572266,1.034206266842564,0.9669251019460596,full_reload,0.7
2026-06-10T14:17:30.161261+00:00,medium,50000,5000,0.75,2,7.1610035999983666,7.456472099998791,0.2324933999843779,1.3986898000002839,43.82120132446289,1.0412607668568261,0.9603742230859453,full_reload,0.7
2026-06-10T14:17:44.693353+00:00,medium,50000,5000,0.8,2,7.1610035999983666,7.356071999998676,0.24180739999792422,1.2694594000095094,44.069400787353516,1.0272403717267162,0.9734819887569963,full_reload,0.7
2026-06-10T14:17:59.003636+00:00,medium,50000,5000,0.9,2,7.1610035999983666,7.431142999997974,0.23917500000243308,1.3570254000042041,43.71255588531494,1.0377236788429585,0.9636476649689448,full_reload,0.7
2026-06-10T14:18:13.458094+00:00,medium,50000,5000,1.0,2,7.1610035999983666,7.582199699998455,0.23460159999376629,1.5209183000006306,43.864614486694336,1.058818026568257,0.9444493528704904,full_reload,0.7
2026-06-10T14:19:18.657715+00:00,long,50000,5000,0.0,0,21.982723299999634,20.892109700002038,0.30230390000360785,0.00032130000909091905,72.70044040679932,0.9503876937759748,1.0522021765948075,incremental_load,
2026-06-10T14:20:01.580477+00:00,long,50000,5000,0.01,0,21.982723299999634,20.740056300001015,0.3127029999923252,0.062254299999040086,72.80799770355225,0.9434707436817603,1.0599162790121528,incremental_load,
2026-06-10T14:20:44.428677+00:00,long,50000,5000,0.05,0,21.982723299999634,20.879686799999035,0.3094861000026867,0.1604957000054128,73.35556888580322,0.9498225727109699,1.0528282110055718,incremental_load,
2026-06-10T14:21:28.002204+00:00,long,50000,5000,0.1,0,21.982723299999634,21.179729500003305,0.3208711999905063,0.2744631999921694,73.68911075592041,0.9634715958965674,1.0379133170702772,incremental_load,
2026-06-10T14:22:11.727608+00:00,long,50000,5000,0.2,0,21.982723299999634,21.35028710000188,0.31604880000304547,0.4963837999966927,74.47408294677734,0.9712303070294405,1.0296219061146816,incremental_load,
2026-06-10T14:22:55.597809+00:00,long,50000,5000,0.3,0,21.982723299999634,21.744163200000912,0.3247329000078025,0.8071677000007185,74.97021579742432,0.9891478368379079,1.0109712246824338,incremental_load,
2026-06-10T14:23:39.991062+00:00,long,50000,5000,0.4,0,21.982723299999634,21.97047079999902,0.3196761999934097,0.9648206000019854,76.96743869781494,0.9994426304769704,1.0005576803570642,incremental_load,
2026-06-10T14:24:24.840852+00:00,long,50000,5000,0.45,0,21.982723299999634,22.065042599999288,0.313124100001005,1.270186300000205,76.92239189147949,1.0037447271148454,0.9962692435499918,full_reload,0.45
2026-06-10T14:25:08.785196+00:00,long,50000,5000,0.5,0,21.982723299999634,21.778703200001473,0.3234329000006255,1.156026099997689,77.45903015136719,0.9907190707350547,1.009367871820676,incremental_load,0.45
2026-06-10T14:25:53.725337+00:00,long,50000,5000,0.55,0,21.982723299999634,22.457297100001597,0.31768000000010943,1.7317314999927476,77.70856285095215,1.0215884899029763,0.9788677240235679,full_reload,0.45
2026-06-10T14:26:38.191383+00:00,long,50000,5000,0.6,0,21.982723299999634,22.154419100002997,0.3196605000011914,1.4133075999925495,77.95673179626465,1.0078104881574599,0.9922500427915377,full_reload,0.45
2026-06-10T14:27:22.946876+00:00,long,50000,5000,0.7,0,21.982723299999634,22.417821999999433,0.30756030000338797,1.7668784000015876,78.45291709899902,1.019792756978377,0.9805913928659167,full_reload,0.45
2026-06-10T14:28:07.766527+00:00,long,50000,5000,0.75,0,21.982723299999634,22.677941900001315,0.3196036999906937,1.9071330000006128,78.41034126281738,1.031625681245858,0.9693438406771101,full_reload,0.45
2026-06-10T14:28:53.589690+00:00,long,50000,5000,0.8,0,21.982723299999634,23.720334300000104,0.3287224999985483,2.1200014000023657,78.94828224182129,1.0790443921022514,0.9267459312324927,full_reload,0.45
2026-06-10T14:29:39.589437+00:00,long,50000,5000,0.9,0,21.982723299999634,23.335864500000753,0.3208102000062354,2.4514300000082585,78.59330749511719,1.0615547574126605,0.9420145244672176,full_reload,0.45
2026-06-10T14:30:25.531751+00:00,long,50000,5000,1.0,0,21.982723299999634,23.326463699999294,0.30782059999910416,2.576454999991256,78.74827671051025,1.0611271124901838,0.9423941658160684,full_reload,0.45
2026-06-10T14:31:30.613409+00:00,long,50000,5000,0.0,1,22.187935000001744,20.69562799999767,0.3127439999989292,0.0003240999940317124,72.70119571685791,0.932742411585217,1.0721073552348468,incremental_load,
2026-06-10T14:32:13.576382+00:00,long,50000,5000,0.01,1,22.187935000001744,20.635621600002196,0.31596609999178327,0.048413299995445414,72.84692478179932,0.9300379508052721,1.0752249401587874,incremental_load,
2026-06-10T14:32:56.398773+00:00,long,50000,5000,0.05,1,22.187935000001744,20.723435200001404,0.3195163999989745,0.15557270000499557,73.31754207611084,0.9339956692679953,1.0706687759952191,incremental_load,
2026-06-10T14:33:39.881887+00:00,long,50000,5000,0.1,1,22.187935000001744,20.86626780000006,0.2976503000027151,0.33832559999791556,73.97986698150635,0.9404330686924411,1.0633398944492451,incremental_load,
